序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
1,阿拉貢舞曲,民族管弦乐,Georges Bizet,,李复斌,CO-AL0001.2010V2,A3-1,总谱 分谱,,,,,,,,卡门组曲,"外国作品,法国,卡门组曲"
2,阿里郎,民族管弦乐,韩国民歌,,李复斌,CO-AL0002,A3-1,总谱 分谱,,,,,,,,同档案盒,"外国作品,韩国"
3,阿里郎,民族管弦乐,韩国民歌,,李复斌,CO-AL0002.2011,A3-1,总谱 分谱,✓,✓,,,,,,,"外国作品,韩国"
4,步步高,民族管弦乐,吕文成,,李复斌,CO-BB0001,A3-1,总谱,,,,,,,,,广东
5,步步高,民族管弦乐,吕文成,,李复斌,CO-BB0001.2016,A3-1,总谱,,,,,,,,,广东
6,步步高,民族管弦乐,吕文成,,李复斌,CO-BB0001.2017,A3-1,总谱,,,,,,,,,广东
7,步步高,民族管弦乐,吕文成,,李复斌,CO-BB0002.2005,A3-1,简分谱,,,,,,,,,广东
8,“步步高”畅想,民族管弦乐,,,李复斌,CO-BB0003,A3-1,总谱 分谱,,,,,,,,,广东
9,“步步高”随想,民族管弦乐,,,李复斌,CO-BB0004,A3-1,简分谱,,,,,,,,,广东
10,“步步高”随想,民族管弦乐,,,李复斌,CO-BB0004.2008,A3-1,总谱 分谱,,,,,,,,,广东
11,“步步高”随想,民族管弦乐,,,李复斌,CO-BB0004.2008（2）,A3-1,总谱 分谱,,,,,,,,与前份相同版本,广东
12,“步步高”主题随想,民族管弦乐,吕文成,,李复斌,CO-BB0005.2017,A3-1,总谱,✓,✓,,,,,,档案盒内4份相同总谱,广东
13,“步步高”主题随想,中西混编管弦乐,吕文成,,李复斌,CO-BB0006.2017,A3-1,总谱 分谱,,✓,,,,,,2019广东卫视春节音乐会,广东
14,“步步高”主题随想,中西混编管弦乐,吕文成,,李复斌,CO-BB0006.2017（2）,A3-1,分谱,,✓,,,,,,与前份相同版本,广东
15,拔根芦柴花,民族管弦乐,江苏民歌,,,CO-BG0007,A3-1,总谱 分谱,,,,,,,,,江苏
16,百花亭闹酒,民族管弦乐,,,卜灿荣,CO-BH0008,A3-1,总谱 简分谱,,,,,,,,,广东
17,百花亭闹酒,民族管弦乐,,,,CO-BH0009,A3-1,简分谱,,,,,,,,,广东
18,百花亭集锦,民族管弦乐,民间乐曲,,李复斌,CO-BH0010.2006,A3-2,总谱,,,,,,,,,广东
19,北京喜讯到边寨,民族管弦乐,郑璐、马洪业,,李复斌,CO-BJ0011.2016,A3-2,总谱,,,,,,,,一份完整 一份仅半,
20,北京喜讯到边寨（少儿版）,民族管弦乐,郑璐、马洪业,,李复斌,CO-BJ0012,A3-2,总谱,✓,✓,,,,,,PDF含线谱与简谱,少儿
21,北京喜讯到边寨（少儿版）,民族管弦乐,郑璐、马洪业,,李复斌,CO-BJ0012.2005,A3-2,总谱,,,,,,,,,少儿
22,北京喜讯到边寨（少儿版）,民族管弦乐,郑璐、马洪业,,李复斌,CO-BJ0012.2025,曲库电脑,总谱,,✓,,,,,,民族管弦乐教程——合奏3,"少儿,民族管弦乐教程"
23,北京喜讯到边寨,民族管弦乐,郑璐、马洪业,,李复斌,CO-BL0013,A3-2,手写总谱,,,,,,,,,
24,弗莱米亚舞曲,民族管弦乐,Jan Blockx（比利时）,,李复斌,CO-BL0014,A3-2,总谱,,,,,,,,,"外国作品,比利时"
25,白毛女序曲,民族管弦乐,,,李复斌,CO-BM0015,A3-2,总谱 分谱,,,,,,,,,"白毛女,经典歌剧"
,白毛女序曲,民族管弦乐,,,李复斌,CO-BM0015,,总谱,,,,,,,,,
,白毛女之四五六,民族管弦乐,,,李复斌,CO-BM0015,,总谱,,,,,,,,,
28,巴山之舞,民族管弦乐,李复斌,,,CO-BS0016,A3-2,总谱,,,,,,,,,李复斌原创
,卜算子-咏梅,民族管弦乐,李复斌,,,CO-BS0017,,总谱 分谱,,,,,,,,,
26,波西米亚舞曲,民族管弦乐,Georges Bizet,,李复斌,CO-BX0017.2010,A3-2,总谱 分谱,,,,,,,,卡门组曲,"外国作品,法国,卡门组曲"
27,波西米亚舞曲,民族管弦乐,Georges Bizet,,李复斌,CO-BX0017.2011,A3-2,总谱,,,,,,,,卡门组曲,"外国作品,法国,卡门组曲"
28,编钟舞曲,民族管弦乐,,,,CO-BZ0018,A3-2,总谱,,,,,,,,,
29,巴山之舞,民族管弦乐,李复斌,,,CO-BS0019,曲库电脑,分谱,✓,✓,,,,,,,李复斌原创
,《白毛女》交响组曲,民族管弦乐,,,李复斌,CO-BM0020,曲库电脑,总谱,,,✓,,,,,1.《序曲》2.窗花舞3.红枣舞4.红头绳5.深仇大恨6.冲出虎口,"白毛女,经典歌剧"
,柏林的空气（短板）,民族管弦乐,,,,CO-BL0021,曲库电脑,总谱 分谱,,,✓,,,,,,
30,草原牧歌雄鹰,民族管弦乐,,,,CO-CY0001.2008,A3-2,总谱 分谱,,,,,,,,（原始版）,
31,草原牧歌雄鹰,民族管弦乐,,,,CO-CY0002,A3-2,总谱 分谱,,,,,,,,（第二版）,
32,草原牧歌雄鹰,民族管弦乐,,,,CO-CY0002.（2）,,总谱 分谱,,,,,,,,另一版,
33,彩云追月,民族管弦乐,任光,汤凯旋,,CO-CY0003.1999,A3-2,简总谱,,,,,,,,中山纪念堂演出,"广东,原版"
34,彩云追月+步步高,民族管弦乐,任光/吕文成,汤凯旋/汤凯旋,,CO-CY0004.2005,A3-2,总谱/简总谱,,,,,,,,,"广东,原版"
35,彩云追月（梁玉嵘）,民族管弦乐,,,,CO-CY0004.2011,A3-2,总谱 分谱,,,,,,,,,"广东,梁玉嵘"
36,彩云追月,民族管弦乐,,,,CO-CY0004.2018,曲库电脑,总谱 分谱,✓,✓,,,,,,,广东
37,彩云追月（混合乐队版）,民族管弦乐,,,,CO-CY0004.2,无,总谱 分谱,,,,,,,,,广东
38,村晓,民族管弦乐,,,,CO-CX0005,A3-3,简分谱,,,,,,,,,
39,长城颂,民族管弦乐,,李复斌,,CO-CC0006.2005,A3-3,简分谱,,,,,,,,,
40,长城颂,民族管弦乐,刘文金,李复斌,,CO-CC0007,A3-3,总谱 分谱,,,✓,,,,,,
41,长城随想曲,民族管弦乐,刘文金,,,CO-CC0008,A3-3,总谱 分谱,,,✓,,,,,,
42,春到沂河,民族管弦乐,王惠然,,,CO-CD0009.2018,A3-3,总谱,,,,,,,,,
43,蝉歌,民族管弦乐,潘耀田,,,CO-CG0010,A3-3,总谱,,,,,,,,,
44,春江花月夜,民族管弦乐,琵琶古曲,秦鹏章  罗忠镕,,CO-CJ0011.2005,A3-3,总谱 简分谱,,,,,,,,,古曲
45,楚宫宴乐,民族管弦乐,,,,CO-CG0012.2005,A3-3,总谱,,,,,,,,湖北省歌剧舞剧民族乐团,湖北
46,春节序曲,民族管弦乐,李焕之,李复斌,,CO-CJ0013.2007,A3-3,总谱 分谱,,,,,,,,,经典作品
47,春节序曲,中西混编管弦乐,李焕之,李复斌,,CO-CJ0013.2020,曲库电脑,总谱 分谱,✓,✓,,,,,,,经典作品
48,春郊试马+得胜令,民族管弦乐,陈德钜,汤凯旋,,CO-CJ0014.2005,A3-3,简总谱+总谱,,,,,,,,2首装订一本存于档案盒,"广东,原版"
49,春郊试马,民族管弦乐,陈德钜,汤凯旋,,CO-CJ0015.2017,A3-3,简总谱,,,,,,,,,"广东,原版"
50,春满羊城,民族管弦乐,何克宁,李复斌,,CO-CM0016.2019,A3-3,总谱,,,,,,,,,广东
51,春满羊城,民族管弦乐,何克宁,黄鼎世,,CO-CM0017.1998,A3-3,简总谱,,,,,,,,,广东
52,春天,民族管弦乐,罗马尼亚民间乐曲,李复斌,,CO-CT0018.2005,A3-3,分谱,,,,,,,,,"外国作品,罗马尼亚"
53,禅院钟声,民族管弦乐,崔蔚林,,李复斌,CO-CY0019.2008,A3-3,分谱 简分谱,,,,,,,,,粤曲
54,潮涌珠江,民族管弦乐,房晓敏,,,CO-CY0020,A3-3,总谱,,,,,,,,,广东
55,春熙-丝桐语,民族管弦乐,李复斌,,,CO-CX0021,曲库电脑,总谱 分谱,✓,✓,,,✓,,,,"广东,李复斌原创"
56,采桑,民族管弦乐,,,,CO-CS0022.2005,,手写简总谱,,,,,,,,,
57,彩云追月,合唱,,李复斌,,CO-CY0023,,总谱,,,,,,,,,广东
58,动感地带（少儿版）,民族管弦乐,李复斌,,,CO-DG0001,A3-4,总谱,,,,,,,,,"李复斌原创,少儿"
59,斗牛士之歌,民族管弦乐,Georges Bizet,,,CO-DN0002.2010,A3-4,总谱 分谱,,,,,,,,卡门组曲。第二版（Introduction to Act Ⅰ）,"外国作品,法国,卡门组曲"
60,灯会,民族管弦乐,蓝程宝,,,CO-DH0003.1991,A3-4,总谱 手写总谱,,,,,,,,,广东
61,得胜令,民族管弦乐,,,李助炘,CO-DS0004,A3-4,手写分谱,,,,,,,,,广东
62,得胜令,民族管弦乐,,,,CO-DS0005,A3-4,分谱,,,,,,,,,广东
63,《大音惠风》大型国乐音画,民族管弦乐,李复斌,,,CO-DY0006.2021,A3-4,总谱 分谱,✓,✓,,,,,,Mv.Ⅰ之1远古惠风、Mv.Ⅱ之2曲五、西湖弦歌、MvⅡ之5曲八、罗浮仙踪,《大音惠风》大型国乐音画
64,《大宅门写意》之“卢沟晓月”,民族管弦乐,赵季平,李复斌,,CO-DZ0007.2008,A3-4,总谱 分谱,,,,,,,,,影视
65,《大宅门写意》之“卢沟晓月”,民族管弦乐,赵季平,李复斌,,CO-DZ0008.2014,A3-4,总谱 分谱,,,,,,,,,影视
66,大寨红花遍地开,民族管弦乐,许镜清,,天津歌舞团民族管弦乐队,CO-DZ0009.2005,A3-4,简总谱,,,,,,,,,天津
67,打虎上山,民族管弦乐,,李复斌,,CO-DH0010.2006,,总谱 分谱,,,,,,,,,京剧
68,“费加罗的婚礼”序曲,民族管弦乐,Mozart,李复斌,,CO-FJ0001.2008,A3-4,总谱 分谱,,,,,,,,Overture to The Marriage of Figaro,外国作品
69,“费加罗的婚礼”序曲,民族管弦乐,Mozart,李复斌,,CO-FJ0001.2008（2）,A3-4,总谱 分谱,,,,,,,,Overture to The Marriage of Figaro,外国作品
70,丰年祭,民族管弦乐,关迺忠,,,CO-FN0002.1983,A3-4,总谱,,,,,,,,,台湾
71,丰收锣鼓,民族管弦乐,彭修文、蔡惠泉,,,CO-FS0003,A3-4,总谱 分谱,,,,,,,,,
72,飞天,民族管弦乐,徐景新、陈大伟,,,CO-FT0004,A3-4,总谱,,,,,,,,,
73,飞天,交响音画,徐景新、陈大伟,,,CO-FT0005.2005,A3-4,简分谱,,,,,,,,,
74,风火围龙屋,民族管弦乐,李复斌,,,CO-FH0006,曲库电脑,总谱 分谱,✓,✓,,,,,,,"广东,客家,李复斌原创"
75,风起岭南,民族管弦乐,李复斌,,,CO-FQ0007,曲库电脑,总谱 分谱,✓,✓,,,,,,,"广东,李复斌原创"
76,共产儿童团歌（革命历史歌曲）,民族管弦乐,,,李复斌,CO-GC0001.2017,A3-5,总谱,,,,,,,,,红歌
77,广东音乐小曲集锦,民族管弦乐,,李复斌,卜灿荣,CO-GD0002.2018,A3-5,总谱,✓,✓,,,,,,百花亭闹酒,广东
78,广东音乐小曲集锦,民族管弦乐,,李复斌,卜灿荣,CO-GD0002.2025,曲库电脑,总谱,✓,✓,,,,,,,广东
79,关东序曲,民族管弦乐,隋利军,,,CO-GD0003,A3-5,总谱,,,,,,,,,东北
80,篝火狂欢夜,民族管弦乐,,,,CO-GH0004,A3-5,分谱,,,,,,,,,云南
81,歌剧魅影,中西混编管弦乐,Lloyd Webber,李复斌,,CO-GJ0005,A3-5,总谱 分谱,,,,,,,,The Phantom Of The Opera,"外国作品,影视"
82,光明行,民族管弦乐,刘天华,,彭修文,CO-GM0006.1982,A3-5,总谱 简分谱,,,,,,,,,
83,高山青,民族管弦乐,高山族民歌,李复斌,,CO-GS0007.2018,A3-5,总谱 分谱,✓,✓,,,,,,,"台湾,影视,歌曲改编"
84,高山青,民族管弦乐,,李复斌,,CO-GS0007.2018（2）,A3-5,总谱 分谱,✓,✓,,,,,,,"台湾,影视,歌曲改编"
85,葛天氏之乐——玄鸟（中型乐队版）,民族管弦乐,李复斌、高鸿祥,,,CO-GT0008.2006.12.20,A3-5,总谱,,,,,,,,,
86,葛天氏之乐——玄鸟,民族管弦乐,李复斌、高鸿祥,,,CO-GT0009.2006.12.29,A3-5,总谱,,,,,,,,,
87,弓舞,民族管弦乐,乔易,,吴朝胜,CO-GW0010,A3-5,总谱 简分谱,,,,,,,,,
88,海滨之歌,民族管弦乐,成田为三,,李复斌,CO-HB0001,A3-6,总谱 分谱,,,,,,,,,"外国作品,日本"
89,火把节,民族管弦乐,王西麟,,李复斌,CO-HB0002,A3-6,分谱,,,,,,,,,
90,黑船,民族管弦乐,法朵·民谣,李复斌,,CO-HC0003,A3-6,总谱,,,,,,,,2017澳门长虹音乐会,"外国作品,葡萄牙"
91,花儿为什么这么红,民族管弦乐,雷振邦,,李复斌,CO-HE0004.2007,曲库电脑,总谱,✓,✓,,,,,,,"影视,歌曲改编,塔吉克"
92,花儿为什么这么红,民族管弦乐,雷振邦,,李复斌,CO-HE0004.2022,A3-6,总谱 分谱,,,,,,,,solo广泛，可合奏可独奏 竹笛、唢呐,"影视,歌曲改编,塔吉克"
93,怀古,民族管弦乐,,,梁军,CO-HG0005.2016,A3-6,总谱,,,,,,,,有头弦solo,
94,花好月圆+月圆曲+喜洋洋,民族管弦乐,黄贻钧/黄锦陪/刘明沅,无/李复斌/无,彭修文/无/无,CO-HH0006,A3-6,简总谱 分谱/总谱/简分谱,,,,,,,,3首总谱装订一本存于档案盒,经典作品
95,花好月圆,民族管弦乐,黄贻钧,,彭修文,CO-HH0006.2005,A3-6,简/线总谱 简/线分谱,,,,,,,,,经典作品
96,花好月圆,民族管弦乐,黄贻钧,,彭修文,CO-HH0007,A3-6,简谱,,,,,,,,仅旋律+伴奏二行谱,经典作品
97,花好月圆,民族管弦乐,黄贻钧,,彭修文,CO-HH0008.2005,A3-6,总谱,,,,,,,,,经典作品
98,花好月圆,民族管弦乐,黄贻钧,,李复斌,CO-HH0008.2017,A3-6,总谱 分谱,✓,✓,,,,,,,经典作品
99,黄河,民族管弦乐,中央乐团集体创作,,李复斌,CO-HH0009,A3-6,总谱,✓,✓,,,,,,第1、2、4乐章,
100,洪湖随想,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010,A3-6,总谱 分谱,,,,,,,,完整4乐章,"洪湖赤卫队,经典歌剧"
101,洪湖随想,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（2）,A3-6,总谱 分谱,,,,,,,,完整4乐章,"洪湖赤卫队,经典歌剧"
102,洪湖随想,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（3）,A3-6,总谱 分谱,,,,,,,,第1、2乐章,"洪湖赤卫队,经典歌剧"
103,洪湖随想,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（4）,A3-6,总谱 分谱,,,,,,,,第1、3、4乐章,"洪湖赤卫队,经典歌剧"
104,洪湖随想Mv.I,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（5）,A3-6,总谱 分谱,✓,✓,,,,,,,"洪湖赤卫队,经典歌剧"
105,洪湖随想Mv.I,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（6）,A4-1,总谱,,,,,,,,2份总谱,"洪湖赤卫队,经典歌剧"
106,洪湖随想Mv.II,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（7）,A4-1,总谱,,,,,,,,,"洪湖赤卫队,经典歌剧"
107,洪湖随想Mv.III,民族管弦乐,洪湖赤卫队主题音乐,,李复斌,CO-HH0010（8）,A4-1,总谱 分谱,,,,,,,,,"洪湖赤卫队,经典歌剧"
